Month,Ticket_Volume,Staff_Count,System_Updates,Avg_Tenure_Years,Remote_Pct,Prior_Month_Vol,Month_Num,Quarter,Year,Month_Label,Predicted,Residual
2021-01-01,169,202,2,4.7,28.7,0,1,1,2021,Jan 2021,169,0
2021-02-01,178,201,3,4.5,25.7,169,2,1,2021,Feb 2021,188,-10
2021-03-01,196,207,1,4.6,29.2,178,3,1,2021,Mar 2021,181,15
2021-04-01,235,213,4,5.0,37.2,196,4,2,2021,Apr 2021,211,24
2021-05-01,188,206,1,4.5,32.0,235,5,2,2021,May 2021,192,-4
2021-06-01,207,207,3,4.2,32.8,188,6,2,2021,Jun 2021,204,3
2021-07-01,195,218,3,4.7,35.4,207,7,3,2021,Jul 2021,205,-10
2021-08-01,217,216,3,4.4,30.4,195,8,3,2021,Aug 2021,198,19
2021-09-01,227,211,5,4.6,38.8,217,9,3,2021,Sep 2021,224,3
2021-10-01,179,218,0,4.6,40.5,227,10,4,2021,Oct 2021,196,-17
2021-11-01,164,215,1,4.0,38.6,179,11,4,2021,Nov 2021,201,-37
2021-12-01,196,216,4,4.7,43.1,164,12,4,2021,Dec 2021,218,-22
2022-01-01,198,222,3,4.5,35.0,196,1,1,2022,Jan 2022,208,-10
2022-02-01,221,213,1,4.1,45.2,198,2,1,2022,Feb 2022,218,3
2022-03-01,262,215,7,4.3,38.2,221,3,1,2022,Mar 2022,242,20
2022-04-01,205,223,3,4.3,37.3,262,4,2,2022,Apr 2022,219,-14
2022-05-01,216,222,4,4.2,41.2,205,5,2,2022,May 2022,228,-12
2022-06-01,227,231,2,4.4,48.3,216,6,2,2022,Jun 2022,226,1
2022-07-01,207,226,1,4.6,43.3,227,7,3,2022,Jul 2022,209,-2
2022-08-01,243,225,4,4.1,41.4,207,8,3,2022,Aug 2022,228,15
2022-09-01,227,241,4,4.5,41.0,243,9,3,2022,Sep 2022,226,1
2022-10-01,234,235,1,4.4,45.3,227,10,4,2022,Oct 2022,214,20
2022-11-01,218,238,2,4.1,40.4,234,11,4,2022,Nov 2022,215,3
2022-12-01,242,232,3,4.1,43.2,218,12,4,2022,Dec 2022,224,18
2023-01-01,250,238,5,3.7,52.5,242,1,1,2023,Jan 2023,265,-15
2023-02-01,249,243,5,3.5,52.6,250,2,1,2023,Feb 2023,268,-19
2023-03-01,272,239,3,4.0,49.0,249,3,1,2023,Mar 2023,243,29
2023-04-01,259,248,2,3.7,48.7,272,4,2,2023,Apr 2023,242,17
2023-05-01,213,245,3,3.9,51.0,259,5,2,2023,May 2023,248,-35
2023-06-01,247,248,3,3.8,58.6,213,6,2,2023,Jun 2023,257,-10
2023-07-01,261,248,1,3.4,53.6,247,7,3,2023,Jul 2023,244,17
2023-08-01,260,262,6,4.0,55.8,261,8,3,2023,Aug 2023,273,-13
2023-09-01,256,254,1,3.7,53.2,260,9,3,2023,Sep 2023,240,16
2023-10-01,278,251,5,3.9,54.8,256,10,4,2023,Oct 2023,265,13
2023-11-01,259,262,4,3.6,57.3,278,11,4,2023,Nov 2023,268,-9
2023-12-01,257,253,3,3.7,56.4,259,12,4,2023,Dec 2023,256,1
2024-01-01,213,262,2,4.2,51.1,257,1,1,2024,Jan 2024,240,-27
2024-02-01,293,253,3,3.8,61.4,213,2,1,2024,Feb 2024,264,29
2024-03-01,248,258,2,3.9,56.5,293,3,1,2024,Mar 2024,256,-8
2024-04-01,312,267,6,3.3,65.4,248,4,2,2024,Apr 2024,299,13
2024-05-01,279,272,2,4.4,61.8,312,5,2,2024,May 2024,261,18
2024-06-01,317,271,6,4.2,60.7,279,6,2,2024,Jun 2024,282,35
2024-07-01,268,271,3,4.1,62.6,317,7,3,2024,Jul 2024,271,-3
2024-08-01,260,272,0,3.9,61.7,268,8,3,2024,Aug 2024,248,12
2024-09-01,297,268,5,3.6,61.3,260,9,3,2024,Sep 2024,281,16
2024-10-01,276,273,0,3.7,64.1,297,10,4,2024,Oct 2024,256,20
2024-11-01,324,276,6,3.9,66.9,276,11,4,2024,Nov 2024,294,30
2024-12-01,275,285,2,3.4,63.6,324,12,4,2024,Dec 2024,273,2
